date,adj_close,close,high,low,open,volume
2013-05-02,31.2533,44.65,44.7,44.5,44.7,49400
2013-05-03,31.1483,44.5,44.9,44.5,44.7,93200
2013-05-06,31.2883,44.7,44.7,44.6,44.6,59500
2013-05-07,31.2883,44.7,45.0,44.6,45.0,66200
2013-05-08,31.2883,44.7,44.85,44.65,44.7,129200
2013-05-09,31.1483,44.5,44.7,44.0,44.7,541500
2013-05-10,30.7983,44.0,44.6,43.5,44.6,148300
2013-05-13,30.2384,43.2,44.2,43.2,44.2,411200
2013-05-14,30.6234,43.75,43.75,43.2,43.2,196600
2013-05-15,30.8683,44.1,44.2,43.9,43.9,141500
2013-05-16,31.0783,44.4,44.4,44.2,44.2,115700
2013-05-17,31.1133,44.45,44.7,44.3,44.4,138200
2013-05-20,31.2183,44.6,44.7,44.35,44.65,77500
2013-05-21,31.0783,44.4,44.7,44.4,44.6,126900
2013-05-22,31.1133,44.45,44.7,44.4,44.4,82000
2013-05-23,30.9733,44.25,44.45,44.0,44.45,121300
2013-05-24,30.5884,43.7,44.3,43.65,44.3,184200
2013-05-27,30.6234,43.75,43.85,43.55,43.65,92100
2013-05-28,30.9383,44.2,44.2,43.8,43.8,75200
2013-05-29,30.8683,44.1,44.3,44.05,44.2,124700
2013-05-30,30.9383,44.2,44.2,43.95,44.0,55000
2013-05-31,31.0433,44.35,44.5,44.05,44.5,106700
2013-06-03,30.9383,44.2,44.25,44.05,44.15,53900
2013-06-04,30.8333,44.05,44.25,44.05,44.25,55000
2013-06-05,30.9383,44.2,44.3,44.0,44.0,49400
2013-06-06,30.9383,44.2,44.35,43.95,44.0,86500
2013-06-07,30.9383,44.2,44.35,44.15,44.2,108900
2013-06-10,31.3583,44.8,44.95,44.5,44.6,184200
2013-06-11,31.3933,44.85,45.0,44.6,44.9,229200
2013-06-12,31.3933,44.85,44.85,44.85,44.85,0
2013-06-13,31.1833,44.55,44.85,44.5,44.85,234800
2013-06-14,30.9033,44.15,44.65,44.15,44.6,297700
2013-06-17,31.1483,44.5,44.5,44.1,44.1,157300
2013-06-18,31.1833,44.55,44.6,44.4,44.55,149400
2013-06-19,31.6383,45.2,45.8,44.6,44.65,626900
2013-06-20,31.6383,45.2,45.2,44.95,45.2,212300
2013-06-21,31.6383,45.2,45.2,44.85,44.95,237000
2013-06-24,31.9883,45.7,45.75,45.2,45.2,647100
2013-06-25,31.5683,45.1,45.7,45.0,45.7,656100
2013-06-26,31.6975,41.9,42.8,41.45,42.8,659500
2013-06-27,31.9245,42.2,42.3,41.7,42.15,266200
2013-06-28,31.7732,42.0,42.35,41.95,42.2,131400
2013-07-01,31.9245,42.2,42.45,42.1,42.2,201100
2013-07-02,32.1136,42.45,42.7,42.4,42.5,165100
2013-07-03,31.8488,42.1,42.6,42.1,42.6,107800
2013-07-04,31.8488,42.1,42.2,42.0,42.0,102200
2013-07-05,31.9245,42.2,42.45,42.2,42.3,74100
2013-07-08,31.9245,42.2,42.35,42.2,42.25,70700
2013-07-09,32.1136,42.45,42.5,42.2,42.3,79700
2013-07-10,32.2271,42.6,42.7,42.5,42.7,97700
2013-07-11,32.681,43.2,43.2,42.6,42.7,350500
2013-07-12,33.2105,43.9,43.95,43.5,43.5,438200
2013-07-15,33.5131,44.3,44.5,44.1,44.2,260600
2013-07-16,33.2105,43.9,44.5,43.9,44.5,178600
2013-07-17,33.4753,44.25,45.2,44.25,44.4,550500
2013-07-18,33.2861,44.0,44.4,44.0,44.35,185300
2013-07-19,33.1727,43.85,44.2,43.5,44.2,92100
2013-07-22,33.2861,44.0,44.1,43.8,43.85,95500
2013-07-23,33.3618,44.1,44.4,44.1,44.3,119100
2013-07-24,33.6644,44.5,44.9,44.4,44.6,175200
2013-07-25,33.8157,44.7,44.9,44.4,44.9,138200
2013-07-26,33.6644,44.5,44.85,44.5,44.8,98800
2013-07-29,33.8157,44.7,44.9,44.3,44.5,157300
2013-07-30,33.5888,44.4,44.8,44.35,44.7,77500
2013-07-31,33.6644,44.5,44.5,44.3,44.4,103300
2013-08-01,33.4753,44.25,44.5,44.25,44.5,56100
2013-08-02,33.5131,44.3,44.45,44.25,44.25,73000
2013-08-05,33.6644,44.5,44.5,44.35,44.35,67400
2013-08-06,33.6266,44.45,44.5,44.3,44.5,75200
2013-08-07,33.7022,44.55,44.6,44.2,44.6,111200
2013-08-08,33.6266,44.45,44.6,44.45,44.5,70700
2013-08-09,33.5509,44.35,44.75,44.35,44.75,65100
2013-08-12,33.5509,44.35,44.45,44.3,44.35,84200
2013-08-13,33.6644,44.5,44.5,44.35,44.35,83100
2013-08-14,33.8914,44.8,45.1,44.55,44.55,213400
2013-08-15,33.8157,44.7,45.0,44.7,44.8,115700
2013-08-16,34.0427,45.0,45.5,44.8,45.5,180800
2013-08-19,34.2318,45.25,45.6,45.2,45.2,306700
2013-08-20,34.4587,45.55,46.4,45.45,45.5,423500
2013-08-21,34.4587,45.55,45.55,45.55,45.55,0
2013-08-22,35.1774,46.5,46.9,45.6,46.0,466200
2013-08-23,36.0095,47.6,48.5,46.9,46.9,510100
2013-08-26,35.7826,47.3,48.4,47.3,48.2,237000
2013-08-27,35.1396,46.45,47.6,46.3,47.3,271900
2013-08-28,34.6857,45.85,46.3,45.65,46.3,205600
2013-08-29,34.7235,45.9,46.3,45.9,45.9,126900
2013-08-30,35.3665,46.75,46.75,46.05,46.2,205600
2013-09-02,35.3287,46.7,47.0,46.7,47.0,147100
2013-09-03,35.8961,47.45,47.5,47.0,47.0,179700
2013-09-04,35.5556,47.0,47.6,46.8,47.5,147100
2013-09-05,35.5556,47.0,47.3,47.0,47.25,148300
2013-09-06,35.5556,47.0,47.2,46.8,47.0,177500
2013-09-09,35.2909,46.65,47.4,46.65,47.0,143800
2013-09-10,35.5556,47.0,47.3,46.9,47.0,78600
2013-09-11,35.48,46.9,47.1,46.7,47.1,68500
2013-09-12,35.707,47.2,47.6,47.0,47.1,126900
2013-09-13,35.5935,47.05,47.5,47.0,47.5,98800
2013-09-16,35.6313,47.1,47.3,47.05,47.2,34800
2013-09-17,35.5556,47.0,47.2,47.0,47.15,44900
2013-09-18,35.48,46.9,47.1,46.9,47.0,61700
2013-09-20,35.48,46.9,46.9,46.9,46.9,0
2013-09-23,35.5178,46.95,47.3,46.6,47.1,180800
2013-09-24,35.3287,46.7,46.95,46.7,46.9,78600
2013-09-25,35.4422,46.85,47.0,46.55,46.6,111200
2013-09-26,35.2909,46.65,46.85,46.5,46.85,119100
2013-09-27,35.1774,46.5,46.9,46.5,46.65,60600
2013-09-30,35.1774,46.5,46.5,46.45,46.5,80800
2013-10-01,35.2531,46.6,46.95,46.5,46.5,44900
2013-10-02,35.5556,47.0,47.2,46.7,47.0,82000
2013-10-03,35.6313,47.1,47.1,46.8,47.0,159500
2013-10-04,35.6313,47.1,47.2,47.0,47.2,80800
2013-10-07,35.0639,46.35,47.15,46.35,47.15,385300
2013-10-08,35.2909,46.65,46.75,46.35,46.35,42600
2013-10-09,35.2531,46.6,46.75,46.55,46.65,59500
2013-10-10,35.2531,46.6,46.6,46.6,46.6,0
2013-10-11,35.1774,46.5,46.95,46.3,46.95,196600
2013-10-14,35.2531,46.6,46.75,46.4,46.5,46000
2013-10-15,35.4043,46.8,47.1,46.7,46.7,112300
2013-10-16,36.993,48.9,49.8,47.55,47.7,538200
2013-10-17,37.6738,49.8,51.1,49.5,50.0,814600
2013-10-18,37.7495,49.9,50.3,49.3,50.3,204400
2013-10-21,37.4847,49.55,50.1,49.25,50.0,197700
2013-10-22,37.4091,49.45,49.7,49.2,49.5,137000
2013-10-23,37.1821,49.15,49.5,49.15,49.5,98800
2013-10-24,37.6738,49.8,50.2,49.3,49.3,358400
2013-10-25,37.3334,49.35,49.8,49.2,49.8,79700
2013-10-28,37.5604,49.65,49.65,49.35,49.35,83100
2013-10-29,37.4847,49.55,49.65,49.5,49.6,48300
2013-10-30,39.1868,51.8,51.9,49.8,49.8,904400
2013-10-31,38.7329,51.2,52.9,51.1,52.8,410100
2013-11-01,38.506,50.9,51.5,50.7,51.0,191000
2013-11-04,37.9008,50.1,51.2,49.6,51.2,210100
2013-11-05,37.636,49.75,50.2,49.15,50.1,216800
2013-11-06,37.2578,49.25,50.0,49.05,50.0,188700
2013-11-07,37.1065,49.05,49.25,49.05,49.25,156100
2013-11-08,36.8795,48.75,49.1,48.7,49.1,143800
2013-11-11,36.6147,48.4,48.7,48.3,48.7,114600
2013-11-12,36.993,48.9,49.0,48.2,48.2,111200
2013-11-13,36.8417,48.7,48.95,48.7,48.9,52800
2013-11-14,36.9173,48.8,49.1,48.5,48.8,91000
2013-11-15,36.993,48.9,48.9,48.2,48.8,70700
2013-11-18,36.8417,48.7,50.0,48.55,49.5,114600
2013-11-19,37.0308,48.95,49.25,48.6,48.6,80800
2013-11-20,36.9173,48.8,49.2,48.5,49.2,74100
2013-11-21,36.6147,48.4,48.5,48.3,48.5,69600
2013-11-22,36.766,48.6,48.65,48.45,48.5,40400
2013-11-25,36.6904,48.5,48.7,48.4,48.6,51600
2013-11-26,36.993,48.9,48.9,48.4,48.4,33700
2013-11-27,37.0686,49.0,49.1,49.0,49.0,29200
2013-11-28,37.636,49.75,49.8,49.3,49.4,137000
2013-11-29,37.4469,49.5,49.9,49.4,49.9,57300
2013-12-02,37.5982,49.7,50.2,49.5,49.55,102200
2013-12-03,37.4847,49.55,50.1,49.55,49.7,61700
2013-12-04,37.5225,49.6,49.8,49.3,49.55,100000
2013-12-05,37.4847,49.55,49.8,49.5,49.6,71900
2013-12-06,37.5982,49.7,49.95,49.5,49.6,67400
2013-12-09,37.6738,49.8,50.4,49.8,49.8,156100
2013-12-10,37.5982,49.7,50.0,49.7,49.9,49400
2013-12-11,37.1443,49.1,49.95,49.05,49.95,85300
2013-12-12,36.8039,48.65,49.1,48.6,49.1,92100
2013-12-13,37.2199,49.2,49.2,48.5,48.65,40400
2013-12-16,36.8795,48.75,49.2,48.65,49.2,23500
2013-12-17,36.8417,48.7,48.8,48.5,48.75,83100
2013-12-18,36.766,48.6,48.8,48.5,48.8,70700
2013-12-19,36.993,48.9,49.0,48.6,49.0,42600
2013-12-20,36.8417,48.7,49.0,48.65,48.8,51600
2013-12-23,36.8039,48.65,49.0,48.65,48.9,43800
2013-12-24,36.9173,48.8,49.0,48.65,48.7,41500
2013-12-25,36.9173,48.8,48.8,48.75,48.8,84200
2013-12-26,37.0308,48.95,49.0,48.5,48.8,38200
