stock,94年1-6月,稅後純益,94年1-6月,增減(%),期末股本,稅後純益,94年1-6月,每股淨值,淨值占總資產(%)(B),流動比率,速動比率,公司,,營業收入,94年1-6月,增減(%),營業利益,94年1-6月,營業外
1468,-631,3096,-23667,,1604053,0.02,0.15,11.72,66.8108,1.88,0.39,1468,昶和,764531,632610,20.85,8113,-21410,-4471
1469,-33497,32821,-33559,,1246000,0.26,-0.27,13.19,70.68,1.19,0.45,1469,理隆,429750,424052,1.34,31067,559,2888
1470,3955,219,8113,-97.3,857670,0.02,0.1,9.14,89.2738,5.13,3.35,1470,大統染,374638,404913,-7.48,-5772,4777,7442
1472,-51275,-24101,-89657,,875000,-0.3,-1.11,14.37,89.4047,2.85,0.61,1472,三洋纖,470294,460923,2.03,-18964,-38382,-5397
1473,215372,311063,276705,12.42,1270370,2.45,2.18,24.57,54.4096,1.41,0.58,1473,台南,3864336,2403659,60.77,183387,85038,204467
1474,21085,45441,34448,31.91,1323908,0.37,0.28,12.08,56.3678,1.7,0.97,1474,弘裕,1840166,1587113,15.94,56137,30582,13744
1475,-32390,-90983,-100888,,957197,-2,-2.03,5.75,44.0913,0.58,0.17,1475,本盟,289573,321393,-9.9,-59726,-67291,-31632
1476,-57147,107444,88596,21.27,1433890,0.75,0.73,15.2,55.2909,1.35,0.64,1476,儒鴻,2492096,2536259,-1.74,140718,186402,2694
1477,-40377,351718,234934,49.71,1250343,2.86,1.93,16.71,41.5389,1.39,0.87,1477,聚陽,5476836,4479477,22.27,537438,381666,-36247
4414,-58244,10573,-6108,,1153145,0.1,-0.06,11.12,36.4688,1.57,0.29,4414,如興,1850271,1707227,8.38,33570,63898,-15249
05,1152494,7132727,6098083,16.97,83464095,0.85,0.75,17.1961334592295,55.6048873078824,1.27203211478717,0.675795407901366,05,電機機械類,79846083,78165675,2.15,6351658,6245700,2071570
1503,26786,413457,340838,21.31,5209722,0.79,0.65,20.78,56.3795,1.15,0.71,1503,士電,7732784,6902894,12.02,494640,358896,56157
1504,409672,1023322,933937,9.57,19177609,0.54,0.49,19.9,60.3639,1.15,0.64,1504,東元,14134362,14060858,0.52,553684,547714,509990
1506,-14012,-20347,4500,,1022516,-0.2,0.04,10.78,43.8088,0.69,0.3,1506,正道,418590,430908,-2.86,8164,16753,-14096
1507,203956,297951,338425,-11.96,4108200,0.72,0.83,18.75,72.5401,2.03,1.01,1507,永大,1586939,1695084,-6.38,153814,150739,155951
1512,40071,-79149,34524,,1765073,-0.45,0.2,11.56,43.2926,1.2,0.57,1512,瑞利,1583863,1817477,-12.85,-163876,5880,52923
1513,16324,396603,360888,9.9,4800000,0.92,0.9,14.66,49.9737,1.23,0.25,1513,中興電,4575531,4651906,-1.64,565510,473276,-45168
1514,-15236,35793,-25842,,2010670,0.19,-0.14,12.89,59.1601,1.74,1.17,1514,亞力,1447767,1372847,5.46,46398,-10606,-10076
1515,-197321,1647,-191535,,2522103,0.01,-0.84,11.14,40.3462,0.92,0.36,1515,力山,2030544,2066504,-1.74,2606,5298,-14869
1516,23752,282,5266,-94.64,923500,(<<<<<),0.06,8.35,72.6576,0.86,0.31,1516,川飛,158340,129537,22.24,6288,-18141,-6416
1517,-30156,43213,-18624,,2368240,0.19,-0.08,11.15,80.6742,3.57,1.78,1517,利奇,763060,801569,-4.8,11519,42856,47479
1519,6561,211904,43285,389.56,2059024,1.04,0.21,11.52,41.2804,1.29,0.35,1519,華城,2475425,1844999,34.17,309183,44115,-33851
1520,375304,1221447,1101981,10.84,7538780,1.62,1.46,16.26,74.2804,1.89,1.05,1520,復盛,4646526,5155575,-9.87,759453,914419,598839
1521,20226,99716,139435,-28.49,762300,1.31,1.83,16.35,45.4851,1.15,0.66,1521,大億,1782715,1961139,-9.1,86595,123401,16307
1522,-348983,26537,-158765,,2486383,0.11,-0.66,15.93,36.161,0.9,0.59,1522,堤維西,3684843,3170051,16.24,185830,163386,-145756
1523,121481,27660,148190,-81.33,1576842,0.17,0.95,19.04,50.6481,0.89,0.58,1523,開億,2433027,2545174,-4.41,16000,65991,-24172
1524,25682,56263,72534,-22.43,1523075,0.46,0.54,14.14,45.8021,1.01,0.54,1524,耿鼎,1340977,1331242,0.73,67564,83684,5480
1525,29288,96971,62401,55.4,580746,1.74,1.28,26.61,70.0269,1.96,0.7,1525,江申,713246,877695,-18.74,38606,44913,56141
1526,-61656,-33674,-90991,,561270,-0.63,-1.81,6.54,37.6543,0.62,0.26,1526,日馳,218040,212770,2.48,-57721,-39964,22096
1527,-75760,380136,498163,-23.69,1862196,2.04,2.68,22.09,45.9516,1.59,1.38,1527,鑽全,1705886,2297538,-25.75,517411,739453,-2740
1528,-7180,96900,46645,107.74,960000,1.12,0.61,14.39,48.3798,1.96,1.16,1528,恩德,1523678,1368028,11.38,122791,72815,-445
1529,1218,-5904,-6550,,889090,0.08,-0.04,10.53,32.1107,1.36,0.11,1529,樂士,1058347,727835,45.41,40144,-4812,-33301
1530,16650,170605,165433,3.13,649053,2.94,2.85,18.8,42.8196,1.64,0.7,1530,亞崴,1403622,1314868,6.75,197984,192301,23525
1531,103464,113798,216627,-47.47,1694956,0.78,1.48,21.18,75.3202,3.05,2.33,1531,高林股,1518180,1775281,-14.48,122136,184062,41342
1532,169174,538935,211756,154.51,2052182,2.78,1.11,25.21,45.383,0.63,0.22,1532,勤美,3380004,2932273,15.27,85654,46366,522030
1533,-69273,139955,28972,383.07,961185,1.46,0.3,17.25,49.3748,1.84,0.8,1533,車王電,1020077,897152,13.7,145003,108508,21690
1535,4616,92504,70108,31.94,901474,1.03,0.78,12.88,50.8069,1.7,0.71,1535,中宇,1289266,953336,35.24,65726,65542,28762
1536,-31143,82953,108225,-23.35,987341,0.84,1.21,16.09,37.7191,1.08,0.69,1536,和大,941696,974724,-3.39,171105,189180,-55419
1537,7184,47594,2416,+++++,660000,0.72,0.04,16.11,74.5601,2.03,0.94,1537,廣隆,603942,554732,8.87,-5894,-5055,66682
1538,35472,50444,179213,-71.85,1276404,0.44,1.56,16.18,39.2618,1.35,1.16,1538,正峰工,2889785,3072545,-5.95,104379,193910,-48453
1539,-147582,-15217,-157153,,648000,-0.24,-2.44,10.83,41.9627,1.15,0.49,1539,巨庭,702230,781073,-10.09,-12087,-23710,-8100
1540,-16315,93785,56194,66.9,619374,1.63,0.98,14.66,55.5334,2.26,0.67,1540,喬福,685687,644565,6.38,118668,100567,1345
1541,-159,-21984,-42471,,682778,-0.32,-0.62,10.24,47.4258,1.1,0.77,1541,錩泰,491907,747053,-34.15,-37061,-30915,6253
1560,32633,341605,108982,213.45,1153000,3.47,1.37,33.22,56.439,1.29,0.73,1560,中砂,1685545,863162,95.28,389663,76471,-6736
