stock,92年1-9月,稅後純益,92年1-9月,增減(%),期末股本,稅後純益,92年1-9月,每股淨值,淨值佔總資產,流動比率,速動比率,,公司,,營業收入,92年1-9月,增減(%),營業利益,92年1-9月,營業外
1717,148804,924275,477796,93.45,5836668,1.58,0.82,16.7601,51.651,2.03,1.24,1717.0,1717,長興,11676930,9491883,23.02,690985,295441,405608
1718,-196938,1459221,847447,72.19,12100000,1.21,0.93,14.1428,64.0849,1.65,1.03,1718.0,1718,中纖,10800487,8376473,28.94,1873991,1020413,-87362
1720,-51880,171543,108925,57.49,1236642,1.39,0.88,13.6827,57.6841,4.05,3.37,1720.0,1720,生達,1054332,918560,14.78,246809,197305,-54717
1721,-157366,-2939,-185616,,959345,-0.03,-1.93,6.4278,54.1476,1.18,0.68,1721.0,1721,三晃,716839,586358,22.25,-14634,-24618,11695
1722,498428,1505190,865127,73.98,9800000,1.54,0.88,31.3905,62.0611,12.22,10.12,1722.0,1722,台肥,6689816,5754384,16.26,502290,526918,1318367
1723,177195,825820,640754,28.88,1970229,4.19,3.36,16.0658,72.724,2.44,2.32,1723.0,1723,中碳,2996200,2313728,29.5,898998,608360,162411
1724,-17164,20742,91982,-77.45,1765446,0.12,0.52,10.4149,61.7257,2.04,1.48,1724.0,1724,台硝,1321587,1194657,10.62,90106,156172,-38039
1725,-25083,129348,64814,99.57,729556,1.77,1,12.5554,24.8115,1.13,0.91,1725.0,1725,元禎,8574776,6481650,32.29,199963,108355,19569
1726,34866,553748,405343,36.61,1599989,3.46,2.53,26.9736,78.4484,3.38,2.32,1726.0,1726,永記,4166512,3525735,18.17,632530,516315,41375
1727,1433,38081,19270,97.62,570000,0.67,0.36,12.8076,71.8446,1.76,1.34,1727.0,1727,中華化,723334,572913,26.26,58522,20927,-6221
1729,56069,484626,813107,-40.4,1705413,2.84,4.95,15.3641,84.378,4.28,3.58,1729.0,1729,必翔,1577864,1836345,-14.08,529055,780038,-31429
1730,5955,25229,19395,30.08,534812,0.47,0.47,11.5212,78.7161,2.55,1.91,1730.0,1730,花仙子,477728,334759,42.71,29022,16886,3007
1731,34274,32938,65407,-49.64,969169,0.34,0.93,16.2876,52.6798,1.68,1.4,1731.0,1731,美吾華,2867178,2387399,20.1,42401,42973,-9932
1732,266,-9692,6795,,424439,-0.23,0.16,10.6418,85.3443,7.02,4.66,1732.0,1732,毛寶,351946,353466,-0.43,-13275,9634,375
1733,6729,142216,78071,82.16,717680,1.98,1.27,12.2335,85.8573,6.36,5.01,1733.0,1733,五鼎,465105,402383,15.59,114479,75087,31983
1734,-26770,88676,52581,68.65,821757,1.08,0.78,14.3192,58.7922,1.21,0.78,1734.0,1734,杏輝,811660,687836,18,115915,82067,-15467
1735,41987,101064,112595,-10.24,729000,1.39,1.66,13.7312,55.8981,1.4,0.83,1735.0,1735,日勝化,1170101,954414,22.6,56442,101219,70056
1736,170055,383317,293465,30.62,1050000,3.65,3.49,20.4476,48.6817,1.14,0.84,1736.0,1736,喬山,2699182,2174311,24.14,72363,169026,324442
1737,92635,842954,404714,108.28,2644737,3.19,1.62,28.9598,76.8363,2.31,1.9,1737.0,1737,臺鹽,2821816,2395722,17.79,924789,531630,105238
4119,-3529,25343,61812,-59,325107,0.78,2.05,23.0899,84.4535,2.95,1.88,4119.0,4119,旭富,327271,394518,-17.05,35528,86524,-183
08,-341915,2561224,825137,210.4,26487263,1.03,0.33,17.3146439719099,74.9889154317299,1.61680198546591,1.10956413296163,8.0,08,玻璃陶瓷類,16964366,13887602,22.15,2943758,1429285,228727
1802,94339,2604321,1139210,128.61,13867200,1.88,0.89,20.6244,88.1175,4.74,3.65,1802.0,1802,台玻,11128888,9403013,18.35,2365280,1302920,803041
1805,-67920,-251736,-111657,,1750000,-1.44,-0.64,5.1134,44.1628,0.29,0.25,1805.0,1805,凱聚,8083,32318,-74.99,-21397,-43737,-230339
1806,-100708,84605,35283,139.79,2851754,0.3,0.14,10.9,62.3179,0.92,0.51,1806.0,1806,冠軍,1407097,1023662,37.46,217637,134588,-133672
1807,-161630,-72392,-252623,,1588745,-0.46,-1.86,6.995,40.6379,0.33,0.18,1807.0,1807,羅馬,729574,488787,49.26,-11820,-90993,-60572
1808,-17195,63017,-17938,,600000,1.05,-0.3,8.3206,29.9122,0.71,0.12,1808.0,1808,國賓大,265978,159126,67.15,79711,-743,-16694
1809,-50667,52321,13559,285.88,1640079,0.32,0.08,12.7413,65.1348,1.22,0.69,1809.0,1809,中釉,1230874,966519,27.35,122702,45818,-46496
1810,-38134,81088,19303,320.08,4189485,0.19,0.05,16.5573,65.2866,0.92,0.56,1810.0,1810,和成,2193872,1814177,20.93,191645,81432,-86541
09,925760,3535680,3119348,13.35,42531553,0.87,0.76,14.206266763172,61.2249446562868,1.52974405730936,0.89438800198768,9.0,09,造紙類,47630511,43432519,9.67,3079219,2596816,1031226
1902,86005,199666,127605,56.47,2942600,0.68,0.46,14.89,42.2555,0.91,0.22,1902.0,1902,臺紙,2953684,2919871,1.16,149856,41600,49810
1903,-50954,-190251,-169750,,2600391,-0.73,-0.65,19.5257,78.869,1.16,0.67,1903.0,1903,士紙,1498255,1557639,-3.81,-220619,-118796,30368
1904,-97452,1025313,838350,22.3,10160000,1.01,0.85,14.8107,63.9892,1.46,0.81,1904.0,1904,正隆,14889861,13605496,9.44,1005940,919549,199834
1905,137897,424262,429451,-1.21,5984401,0.71,0.75,13.1179,75.377,13.18,9.35,1905.0,1905,華紙,4317989,4225574,2.19,269932,430363,133979
1906,-17662,-2900,-28622,,1510000,-0.02,-0.19,8.214,63.5037,0.96,0.8,1906.0,1906,寶隆,1389055,799949,73.64,25548,-11034,-26730
1907,981848,1689250,1774089,-4.78,14215681,1.19,1.35,12.9143,57.0227,1.45,0.87,1907.0,1907,永豐餘,18410383,16862548,9.18,1412242,1102241,561008
1909,-113922,390340,148225,163.34,5118480,0.76,0.29,12.1158,60.446,1.59,1.21,1909.0,1909,榮成,4171284,3461442,20.51,436320,232893,82957
10,2872363,54768713,36511327,50,184357002,3.09,2.06,16.4245320321715,62.0515020679476,1.58475263868276,0.802551172190866,10.0,10,鋼鐵類,322011510,234925025,37.07,67758355,42225421,2183727
2002,3716630,36932531,27649252,33.58,99311138,3.72,2.91,17.0896,76.0908,2.56,1.54,2002.0,2002,中鋼,121392340,96228074,26.15,41671348,30208928,4836703
2006,-169450,2518554,306328,722.18,7170687,3.51,0.44,17.6481,47.2126,1.22,0.39,2006.0,2006,東鋼,24071844,14110121,70.6,3855995,598298,-448328
2007,-199689,215288,-91137,,3801685,0.57,-0.24,10.6593,27.9925,0.32,0.09,2007.0,2007,燁興,5913422,4593639,28.73,362711,163100,-148393
2008,-265149,570476,175357,225.32,4238266,1.35,0.41,10.3262,33.1171,0.62,0.22,2008.0,2008,高興昌,9725331,7153876,35.94,893621,440506,-318473
2009,45301,255971,174564,46.63,3596222,0.71,0.49,11.0664,74.2807,2.52,1.01,2009.0,2009,第一銅,3125358,2185018,43.04,301163,134877,10447
2010,247099,1234810,663855,86.01,4461686,2.77,1.56,17.8093,50.4735,1.58,0.9,2010.0,2010,春源,11532934,8342455,38.24,1089589,558015,437097
2012,-17657,311658,145605,114.04,2877740,1.08,0.51,10.0142,54.9862,1.5,0.72,2012.0,2012,春雨,2937693,2492350,17.87,390327,232470,30530
2013,96914,96463,39323,145.31,1569793,0.61,0.26,16.4331,32.903,1.07,0.36,2013.0,2013,中鋼構,7024439,4665516,50.56,19992,-55702,100723
2014,-577093,1241660,1521997,-18.42,12069834,1.03,1.33,11.0998,44.6702,1.13,0.18,2014.0,2014,中鴻,32097935,22459000,42.92,3953086,2324090,-1860866
2015,53032,2663566,878176,203.31,5248571,5.07,1.67,18.0172,66.39,1.64,0.7,2015.0,2015,豐興,18714734,12105535,54.6,3444408,1139038,106105
2017,26039,608376,324851,87.28,4507940,1.35,0.72,11.1026,64.9925,1.42,0.81,2017.0,2017,嘉益,4720308,3345975,41.07,811782,308325,-56363
2020,112250,438068,187333,133.84,1361274,3.22,1.65,17.0843,43.7297,1.5,0.61,2020.0,2020,美亞,3490495,2381792,46.55,261118,77068,240197
2022,418184,449188,432741,3.8,4247693,1.06,1.02,10.8973,58.883,1.29,0.78,2022.0,2022,聚亨,1596084,1252663,27.42,76679,18652,363327
2023,-310402,2374315,1964488,20.86,10747216,2.21,2.13,18.1224,54.1293,1.54,1.06,2023.0,2023,燁輝,25513697,20297506,25.7,3790707,3100470,-444929
2024,-66970,34714,-101799,,1496272,0.23,-0.68,6.4694,39.8816,0.59,0.28,2024.0,2024,志聯,1098527,886538,23.91,61109,-34829,-26395
2025,-20888,460828,213727,115.62,3228341,1.43,0.66,10.3902,69.8022,2.88,0.97,2025.0,2025,千興,4892416,3726553,31.29,680072,226268,-60549
2027,-48056,777845,103396,652.3,2759490,2.82,0.42,16.0671,53.8432,1.3,0.8,2027.0,2027,大成鋼,4711525,2599638,81.24,793954,155802,148915
2028,-148728,266413,124392,114.17,2650000,1.01,0.31,10.1869,28.7244,0.69,0.11,2028.0,2028,威致,5856671,4173502,40.33,460226,273586,-185656
2029,-21406,1280121,1080973,18.42,3211800,3.99,3.37,22.6901,71.913,2.16,0.74,2029.0,2029,盛餘,13687366,10140223,34.98,2344520,1386277,-693708
2030,-21809,337722,95356,254.17,1248423,2.71,1.13,16.5814,43.1114,2.12,0.72,2030.0,2030,彰源,4169658,2432389,71.42,436723,141367,3903
2031,19191,1012600,389485,159.98,1696643,5.97,2.87,20.5146,39.7944,1.68,0.81,2031.0,2031,新光鋼,6695597,3729830,79.51,1406479,522810,-43350
2032,18880,156095,101317,54.07,873869,1.79,1.28,14.8965,51.4933,1.66,1.17,2032.0,2032,新鋼,2489323,1803766,38.01,159632,110902,27699
2033,-18546,34424,14204,142.35,711843,0.48,0.2,11.7884,52.736,1.42,0.9,2033.0,2033,佳大,1007520,783242,28.63,35115,40413,8790
2034,4686,497027,117543,322.85,1270576,3.91,1.05,18.65,60.2181,2.94,1.3,2034.0,2034,允強,5546293,3035824,82.69,457999,154690,156301
11,2990062,4791375,4973948,-3.67,39645056,1.27,1.32,16.5454600446181,64.1871255957263,1.5476300634116,0.976334888936705,11.0,11,橡膠類,34309632,28874333,18.82,2592850,2171788,2716835
2101,-178130,572252,140543,307.17,2608200,2.19,0.54,18.1887,49.8035,0.83,0.19,2101.0,2101,南港,4797358,3606857,33.01,858423,321462,-328587
2102,748874,461490,1130565,-59.18,2868162,1.61,4.2,18.7987,69.6525,4.35,3.26,2102.0,2102,泰豐,2858853,2983540,-4.18,363782,489796,238327
2103,128391,712747,318801,123.57,6095114,1.17,0.52,13.1741,66.5875,1.61,1.03,2103.0,2103,臺橡,7341091,5546291,32.36,179014,190410,608650
2104,-111397,404389,165124,144.9,4297407,0.94,0.38,16.5204,71.6612,1.69,0.58,2104.0,2104,中橡,1973851,2000383,-1.33,303177,174566,144071
2105,1684167,1798642,2286808,-21.35,10489455,1.71,2.39,18.0072,60.5646,1.38,0.95,2105.0,2105,正新,9972116,8031497,24.16,663564,684348,1330335
2106,530499,550662,609284,-9.62,3960000,1.39,1.69,14.8573,67.0644,1.66,1.32,2106.0,2106,建大,2655621,2465240,7.72,91089,137469,517545
2107,24997,52306,43733,19.6,3852644,0.14,0.11,14.2114,67.2446,1.1,0.63,2107.0,2107,厚生,820637,781081,5.06,29800,18736,30457
2108,-7226,91385,104334,-12.41,2332727,0.39,0.46,12.2586,83.2307,2.86,1.56,2108.0,2108,南帝,2027067,1823507,11.16,115168,153399,12424
2109,169887,147502,174756,-15.6,3141347,0.47,0.67,12.95,62.4373,2.7,2,2109.0,2109,華豐,1863038,1635937,13.88,-11167,1602,163613
12,6204413,13738769,14357654,-4.31,40898699,3.04,3.17,24.149293289792,67.0445762549504,1.75604354078372,1.32708920061914,12.0,12,汽車類,153451786,125514844,22.26,6734401,4832077,8798701
2201,1683908,4632216,6416176,-27.8,13917845,3.33,3.51,31.0307,71.7408,2.01,1.43,2201.0,2201,裕隆,32807903,28781351,13.99,1568863,570501,3710733
2204,3132820,5184091,5966186,-13.11,13465362,3.85,4.44,30.32,70.5984,2.23,1.58,2204.0,2204,中華,48172117,43418868,10.95,3308617,3280366,2217474
2206,298587,1103434,218448,405.12,8053700,1.37,0.27,13.6091,52.4826,1.07,0.71,2206.0,2206,三陽,14903148,11024175,35.19,170532,1202,1187902
2207,1089098,2819028,1756844,60.46,5461792,5.16,3.22,26.2078,59.4076,1.49,1.38,2207.0,2207,和泰,57568618,42290450,36.13,1686389,980008,1682592
13,34300820,427114200,222245456,92.18,2060708609,2.28,1.19,19.7180400579223,63.7461964612459,1.77151500520459,1.32068322182156,13.0,13,電子類,3724196567,2903905204,28.25,375373366,213344074,78229787
1435,17996,-63149,12550,,1397801,-0.45,0.09,7.5273,60.9786,0.79,0.5,1435.0,1435,中褔,200779,452219,-55.6,-23827,-6001,-39322
1437,-77105,49012,-62006,,1573321,0.31,-0.39,17.2536,56.9291,1.35,0.55,1437.0,1437,勤益,1097538,921962,19.04,-19722,6255,77240
1453,21229,-16652,22119,,797734,-0.21,0.28,9.6359,53.9224,1.07,0.3,1453.0,1453,大將,589935,874964,-32.58,-6200,1559,-2678
1604,14189,-154052,817329,,13400000,-0.12,0.8,11.2767,59.9024,2.1,0.98,1604.0,1604,聲寶,13603113,14922200,-8.84,84751,803140,-238803
2301,3905883,5491366,4911794,11.8,25121450,2.19,2.19,18.6273,49.8717,1.68,1.46,2301.0,2301,光寶科,111356106,64506783,72.63,4100217,1701459,1862132
2302,52870,-2373,-11749,,1869750,-0.01,-0.04,19.4691,75.9829,1.47,0.31,2302.0,2302,麗正,542011,531954,1.89,-66196,-72344,63823
2303,2329921,30509775,7293365,318.32,177478439,1.72,0.45,15.0106,78.6617,3.74,3.32,2303.0,2303,聯電,89083066,61142874,45.7,21615989,5772210,8927579
2305,-100072,-276888,-86948,,2056608,-1.35,-0.42,10.4598,49.5626,0.91,0.52,2305.0,2305,全友,2041852,2175545,-6.15,1164,13427,-278052
2308,3411241,4923383,4103096,19.99,15855600,3.11,2.77,20.426,58.326,2.12,1.37,2308.0,2308,台達電,32440390,30129275,7.67,142832,164074,4255425
2311,-1574788,5617071,595170,843.78,41000000,1.37,0.17,13.08,52.5092,1.01,0.66,2311.0,2311,日月光,29895458,21451446,39.36,4039105,1842175,1170739
2312,1612796,1364729,2143482,-36.33,12948027,1.05,1.8,12.7809,76.5942,1.4,1.31,2312.0,2312,金寶,11797510,9997665,18,555583,282273,892894
2313,-2127313,-778739,-2431264,,9450140,-0.82,-2.79,13.8333,54.6913,1.98,1.21,2313.0,2313,華通,8986275,8530351,5.34,-832684,-1140820,-343909
2314,-191348,255699,-38992,,4291480,0.6,-0.09,11.0207,59.3367,1.63,1.18,2314.0,2314,台揚,3222124,2516412,28.04,177706,124495,77993
2315,327416,1540845,728141,111.61,10673861,1.44,0.7,16.6186,54.3874,1.76,1.26,2315.0,2315,神達,33397218,27477184,21.55,754217,408725,850598
2316,72307,629320,41722,+++++,4446487,1.42,0.1,16.4778,67.3148,1.63,1.27,2316.0,2316,楠梓電,5504275,3600053,52.89,398483,-30585,284218
2317,10876519,21140548,17985102,17.54,32310231,6.54,6.52,35.2613,54.5548,1.32,0.91,2317.0,2317,鴻海,285058309,241829654,17.88,9540299,9367650,15076060
2318,-259129,-265648,-442322,,1571881,-1.69,-2.81,2.8214,17.6456,0.22,0.07,2318.0,2318,佳錄,249904,198713,25.76,-104842,-183193,-160806
2321,-40513,301832,70213,329.88,2973318,1.02,0.24,13.5954,50.9005,1.97,1.2,2321.0,2321,東訊,7460121,5819506,28.19,297008,110875,25093
2323,-65332,2877489,4168159,-30.96,32490481,0.89,1.39,17.7839,64.898,1.8,1.12,2323.0,2323,中環,21771845,18706157,16.39,4089529,4332421,-1189701
2324,1970050,4894546,7664070,-36.14,34458109,1.42,2.43,16.4784,54.1283,1.72,1.47,2324.0,2324,仁寶,147080464,102654365,43.28,5979333,5720474,-667464
2325,-257918,3946064,1457592,170.72,21050731,1.87,0.77,15.8104,56.628,2.53,2.08,2325.0,2325,矽品,25905779,19334489,33.99,3447452,1624856,47591
2326,-109706,56400,-204193,,600429,0.94,-2.12,9.9743,13.5187,0.98,0.9,2326.0,2326,亞瑟,4063809,504275,705.87,-302676,-94460,338096
2327,-1608120,733957,-828283,,22748635,0.32,-0.37,16.277,63.734,1.37,0.9,2327.0,2327,國巨,8152843,8020775,1.65,670583,1136581,113522
2328,29121,543718,268818,102.26,3628000,1.5,0.78,16.3078,70.4049,1.76,1.56,2328.0,2328,廣宇,5365251,3970569,35.13,548023,239697,6393
2329,-896068,-1884361,-2812064,,8617141,-2.19,-1.76,7.9418,31.0888,0.49,0.22,2329.0,2329,華泰,10421484,9476081,9.98,-1440968,-1993170,-566871
2330,-2561879,70131981,31256349,124.38,232518770,3.02,1.54,16.3111,82.0014,4.02,3.57,2330.0,2330,台積電,192117483,144124736,33.3,65794860,36022089,3890095
2331,47483,-621096,447475,,7346987,-0.85,0.78,18.18,55.8577,1.67,0.99,2331.0,2331,精英,12529940,39074471,-67.93,-632355,399378,11259
2332,-109491,2034167,1006706,102.06,5508242,3.69,2.01,20.3171,62.473,1.4,1.18,2332.0,2332,友訊,14070462,9954158,41.35,1143119,819889,1078767
2333,-271394,-709913,-898673,,6944017,-1.02,-1.29,7.0939,39.6636,0.73,0.34,2333.0,2333,碧悠,4027973,3037162,32.62,-534543,-634027,-159041
2335,-50840,-118808,-113691,,800000,-1.49,-1.42,5.0008,30.8428,0.54,0.4,2335.0,2335,清三,718412,884145,-18.75,-96564,-45124,-30744
2336,-21741,-911286,331273,,4409314,-2.07,0.77,9.527,44.1104,1.99,1.59,2336.0,2336,致伸,9849933,11571218,-14.88,-416056,311133,-463121
2337,-450202,1012092,-7403336,,50352963,0.2,-1.88,7.0541,65.7298,2.47,1.57,2337.0,2337,旺宏,17991151,11924616,50.87,-396541,-6953134,1408633
2338,9763,630233,480921,31.05,3709440,1.7,1.2,12.777,58.2942,3.11,2.89,2338.0,2338,光罩,2402680,2151341,11.68,689841,559680,-8716
2340,-484736,-570722,-638392,,6519205,-0.88,-1.42,10.5631,48.3297,1.02,0.63,2340.0,2340,光磊,4062407,3322062,22.29,-240564,-267499,-383868
2341,-301650,-1593914,-73141,,5106122,-3.12,-0.15,10.95,51.3065,2.22,0.96,2341.0,2341,英群,10167266,9910529,2.59,-884450,279405,-591265
2342,951692,2775862,-4963690,,25203922,1.1,-1.14,5.1965,50.8295,0.7,0.23,2342.0,2342,茂矽,19619658,19413592,1.06,-143589,-5914804,2919451
2343,310491,257308,536019,-52,9493400,0.27,0.6,15.5,86.4226,2.45,1.88,2343.0,2343,精業,6092856,6389589,-4.64,208503,297892,68781
2344,436811,3311567,-1324064,,43718212,0.76,-0.3,14.0155,89.7539,4.19,3.19,2344.0,2344,華邦電,24609526,21299569,15.54,3079178,-1760875,232389
2345,-2656889,-53623,-2211430,,5845855,-0.09,-3.78,12.352,58.5345,2.2,1.44,2345.0,2345,智邦,14460038,11726320,23.31,363387,445720,-416784
2347,665464,1932184,1746018,10.66,8280000,2.33,2.38,23.399,60.9619,2.06,1.55,2347.0,2347,聯強,45471200,46998418,-3.25,1374046,1484569,906258
2348,-297359,-149226,-385134,,1287052,-1.16,-2.99,5.101,20.1575,0.28,0.17,2348.0,2348,力廣,1595147,1238522,28.79,-59315,-63813,-81649
2349,-1413667,-293300,658726,,21612355,-0.14,0.31,26.7713,65.9936,1.67,1.2,2349.0,2349,錸德,15990078,17696702,-9.64,1562530,2533100,-1477121
2350,630941,753595,594753,26.71,7284110,1.03,0.86,13.1938,41.7595,1.2,0.92,2350.0,2350,環電,33807277,24861273,35.98,660468,-67805,107418
2351,-2288,255214,89164,186.23,1735582,1.47,0.54,13.608,53.8193,1.62,0.81,2351.0,2351,順德,2486743,1719043,44.66,211122,106643,55608
2352,2637640,7421386,5143297,44.29,23150141,3.21,2.47,21.2524,58.6941,1.47,1.24,2352.0,2352,明基,115651455,74115825,56.04,3907095,2751490,3815482
2353,4670387,3831798,5873062,-34.76,20933677,1.83,2.77,28.1013,65.0888,1.13,1.04,2353.0,2353,宏碁,84788860,50713501,67.19,2202326,1465591,2174602
2354,657224,1324800,1293355,2.43,5065000,2.62,2.83,18.572,40.8603,1.25,0.7,2354.0,2354,鴻準,21938654,14546745,50.81,1147430,950866,481806
2355,-27905,622315,400617,55.34,3313267,1.88,1.31,20.0085,64.4334,2.92,2.42,2355.0,2355,敬鵬,5837641,4930340,18.4,645010,505185,121029
2356,2344809,1958420,3058778,-35.97,21370000,0.92,1.51,13.0025,44.6456,1.42,0.91,2356.0,2356,英業達,97301285,57482384,69.27,1195065,571771,787490
2357,5186861,11504301,8858597,29.87,25529140,4.51,3.88,32.1579,75.8924,3.3,2.56,2357.0,2357,華碩,53059729,51180132,3.67,3250814,3886890,8469715
2358,-24650,20420,-27445,,650000,0.31,-0.42,7.5741,40.8866,0.88,0.58,2358.0,2358,美格,1443719,1957478,-26.25,14160,-2764,6260
2359,-35736,16768,-24522,,3761834,0.04,-0.07,10.0597,43.6646,0.73,0.47,2359.0,2359,所羅門,6041119,4403227,37.2,91820,8464,-90485
2360,-3857,706379,333990,111.5,2634047,2.68,1.23,16.2326,64.0846,1.68,0.96,2360.0,2360,致茂,4372053,3478835,25.68,727962,389886,74827
2361,410782,249681,469987,-46.87,3253046,0.77,1.62,12.0204,71.0393,5.87,4.87,2361.0,2361,鴻友,3221324,2751512,17.07,76245,59369,173436
2362,20392,327276,322209,1.57,5296950,0.62,0.65,11.7697,68.771,1.8,1.28,2362.0,2362,藍天,8530032,7174108,18.9,210671,311817,109705
2363,-353496,-1999972,-56164,,13559107,-1.48,-0.04,12.1838,84.3313,2.45,2.03,2363.0,2363,矽統,7610149,12783384,-40.47,-114780,297332,-1825192
2364,-219445,-103487,-319067,,2773037,-0.37,-0.57,9.9808,44.1188,1.31,0.82,2364.0,2364,倫飛,5790779,4537348,27.62,-85696,-156989,-17779
2365,108989,446270,512680,-12.95,2220334,2.01,2.48,17.6546,62.4658,2.15,1.28,2365.0,2365,昆盈,7250728,6798904,6.65,496651,537804,63333
2366,113892,606573,261412,132.04,4516321,1.34,0.68,16.33,47.4989,1.66,1.15,2366.0,2366,亞旭,19164288,11436971,67.56,976525,99254,-364768
2367,-164028,221631,-84488,,3560552,0.62,-0.23,16.5006,65.2361,1.21,0.96,2367.0,2367,燿華,6664817,3704452,79.91,719017,129179,-292786
2368,-329499,841264,-151197,,4437475,1.9,-0.37,13.7247,53.0557,1.63,1.35,2368.0,2368,金像,7132816,4891899,45.81,799488,101302,-197356
2369,-43935,475017,222603,113.39,2952277,1.61,0.83,16.2415,77.9895,2.48,2.11,2369.0,2369,菱生,3638337,2735395,33.01,483140,234397,38732
2370,-651,33443,11843,182.39,2838780,0.12,0.04,13.5492,82.6796,3.16,2.46,2370.0,2370,匯僑工,1662768,1502402,10.67,24614,12494,8241
2371,-1045404,7338409,-1698222,,41981420,1.75,-0.4,12.5988,52.3635,1.08,0.65,2371.0,2371,大同,73071099,56218495,29.98,427144,-631621,6922968
2373,186387,335780,562943,-40.35,3522171,0.95,1.6,11.9057,51.7635,0.96,0.57,2373.0,2373,震旦行,6904960,6499522,6.24,334934,262456,46016
2374,329294,356575,446448,-20.13,3089874,1.15,1.51,12.2754,37.0825,1.4,1.09,2374.0,2374,佳能,11210811,6018002,86.29,355986,175105,57568
2375,73381,76919,80665,-4.64,1990132,0.39,0.42,14.9241,78.3399,1.89,1.71,2375.0,2375,智寶,842790,921157,-8.51,31831,7819,45102
2376,223483,1630363,2646206,-38.39,6245093,2.61,4.46,29.7975,62.7743,1.93,1.19,2376.0,2376,技嘉,26847458,24352082,10.25,1771025,2768143,151918
2377,437695,792088,2061128,-61.57,7564352,1.05,3.07,26.0859,51.3737,1.73,0.96,2377.0,2377,微星,47896427,46469560,3.07,232795,1800778,341220
2378,-135564,-138032,-184921,,1559456,-0.89,-1.19,8.7474,56.9782,1.32,0.7,2378.0,2378,鴻運電,1224399,974967,25.58,-98947,-58999,-39085
2379,85238,1679410,2218120,-24.29,7340268,2.29,3.4,23.2143,85.1419,4.24,3.72,2379.0,2379,瑞昱,6974007,6857048,1.71,1416597,1965803,171208
2380,272379,435523,426608,2.09,2211600,1.97,1.97,17.3374,82.0922,2.93,1.77,2380.0,2380,虹光,3258534,2853136,14.21,328907,138118,94166
2381,195831,-1287118,-552403,,10862843,-1.18,-0.48,12.3749,72.2578,3.79,2.38,2381.0,2381,華宇,10948912,22095439,-50.45,-779470,-846798,-551263
2382,2453885,9055988,9844477,-8.01,31072499,2.91,3.58,21.0121,44.0281,1.38,1.27,2382.0,2382,廣達,213907642,202211170,5.78,4434073,8140031,5538276
2383,-183648,208036,-159284,,1670382,1.25,-0.95,10.9897,67.8305,1.69,1.05,2383.0,2383,台光電,1283861,1010653,27.03,127138,13360,78065
2384,-90258,2662912,294434,804.42,6353825,4.19,0.61,21.3541,52.3792,1.38,0.62,2384.0,2384,勝華,16133708,6472082,149.28,685214,384692,1977698
2385,979075,908660,1177811,-22.85,3735000,2.43,3.94,13.0368,47.8493,0.87,0.55,2385.0,2385,群光,8823041,7916627,11.45,180349,242474,745025
2387,195501,478682,317371,50.83,2360202,2.03,1.66,11.805,74.1882,1.51,1.22,2387.0,2387,精元,1749433,1506704,16.11,243672,146428,308681
2388,-1907486,-1673458,-1714819,,13518463,-1.24,-1.35,15.2,68.4819,2.44,1.68,2388.0,2388,威盛,14485366,15211497,-4.77,537598,163021,-2270904
2389,-271064,-186326,-217984,,3057081,-0.61,-0.71,12.4192,75.3721,1.17,0.93,2389.0,2389,世昕,1477401,1345395,9.81,42041,45274,-217464
2390,-334978,144555,-204083,,2864789,0.5,-0.66,12.9188,68.5774,0.9,0.72,2390.0,2390,云辰,963518,934607,3.09,69475,91895,94080
2391,96321,1420602,888001,59.98,3752956,3.79,2.78,20.9102,81.5284,4.1,3.16,2391.0,2391,合勤,7559148,4757664,58.88,1447194,817426,7944
2392,65816,985160,586872,67.87,2587616,3.81,2.57,29.8307,51.8617,1.39,0.75,2392.0,2392,正崴,12754644,8124579,56.99,1209829,736098,55498
2393,105671,947104,667851,41.81,2736647,3.46,2.71,20.5172,62.2602,2.2,1.7,2393.0,2393,億光,4652731,3551666,31,917141,668699,170524
2394,78747,889214,1195574,-25.62,5714145,1.56,2.3,18.196,61.3337,1.74,1.18,2394.0,2394,普立爾,16269580,16055152,1.34,944927,1266742,86029
2395,-368633,1679567,822430,104.22,3692427,4.55,2.41,19.0815,72.0121,2.16,1.72,2395.0,2395,研華,5930276,4961269,19.53,1151515,1311063,734052
2396,420159,905713,994207,-8.9,8081993,1.12,1.69,18.921,52.294,2.15,1.69,2396.0,2396,精碟,8429205,6240456,35.07,1136652,582872,-233209
2397,21264,75419,21059,258.13,1134000,0.67,0.18,21.4127,83.8389,6.74,5.91,2397.0,2397,友通,1849199,2066984,-10.54,104374,675,-17063
2399,-23668,10750,196466,-94.53,1091000,0.1,2.02,12.0175,45.7153,1.54,1.11,2399.0,2399,映泰,4133537,4207816,-1.77,34161,215434,-21921
2401,-42995,2393566,1204590,98.7,8752544,2.73,1.55,17.1969,75.5885,2.91,1.84,2401.0,2401,凌陽,13925754,7335901,89.83,2478542,1205915,-151256
2402,86864,831969,418278,98.9,2464923,3.38,2.4,21.632,48.1603,2.16,1.81,2402.0,2402,毅嘉,4179131,2009531,107.97,742817,393414,224152
2403,-5250,483292,385568,25.35,2198180,2.2,1.99,22.8901,51.2127,1.67,0.91,2403.0,2403,友尚,22830752,16270904,40.32,631726,528506,14200
