stock,稅後純益,102年1-9月,增減(%),期末股本,稅後純益,102年1-9月,每股淨值,淨值佔總資產,流動比率,速動比率,稅前純益,102年1-9月,增減(%),公司,,營業收入,102年1-9月,增減(%),營業利益,102年1-9月,營業外,102年1-9月
1445,21992,58528,-62.42,1386670,0.16,0.42,13.56,84.7810988309216,8.03378573491193,3.74890952475037,22542,59497,-62.11,1445,大宇,1403473,1581669,-11.27,7623,42344,14919,17153
1446,17833,4891,264.61,1386215,0.13,0.04,13.61,49.4853182409321,9.42675098385461,1.07290231718178,24142,6343,280.61,1446,宏和,605147,580961,4.16,13465,-789,10677,7132
1447,377048,814203,-53.69,8709402,0.46,0.99,12.81,49.5802658410006,1.30767368695287,0.575380901464028,445198,960414,-53.65,1447,力鵬,17322933,19769121,-12.37,251217,631449,193981,328965
1449,-182222,-138903,,1200000,-1.63,-1.96,7.47,18.2436430897357,0.709894538828738,0.366492327591352,-186784,-129203,,1449,佳和,2614055,2679925,-2.46,-231780,-165204,44996,36001
1451,564285,635078,-11.15,4000000,1.41,1.49,24.62,71.7098338209358,3.33022568296882,1.59354411967662,729382,749061,-2.63,1451,年興,9951354,10446600,-4.74,240711,663608,488671,85453
1452,126485,79632,58.84,1326414,0.95,0.6,15.96,87.1757770764807,6.02997790077651,2.72118889767451,140046,106180,31.89,1452,宏益,1540168,1595372,-3.46,101473,67370,38573,38810
1453,-32449,-6870,,879164,-0.37,-0.08,10.96,81.6776604094724,5.11354944515765,1.20903206726665,-31927,-3220,,1453,大將,178625,173960,2.68,-40416,-11077,8489,7857
1454,49808,34029,46.37,1403098,0.38,0.26,12.42,77.6606184878758,3.05854275122371,1.37933598952604,53953,38524,40.05,1454,台富,1571902,1609881,-2.36,33142,26743,20811,11781
1455,30064,270231,-88.87,6117634,0.05,0.44,12.15,59.8302634810427,1.30329194127325,0.541054906481944,56400,299804,-81.19,1455,集盛,13470910,13217543,1.92,8642,126750,47758,173054
1456,-1102026,-70104,,2130000,-5.28,-0.43,4.48,22.3595217098339,1.39854190830417,0.201862338878533,-1103174,-73965,,1456,怡華,694785,567981,22.33,-74406,-28880,-1028768,-45085
1457,81051,78641,3.06,3351640,0.31,0.29,13.84,42.7356395578366,1.28109310120489,0.875439838173549,148288,91786,61.56,1457,宜進,3468672,3315030,4.63,61585,31386,86703,60400
