stock,公司,營業收入,88年1-3月,,營業利益,88年1-3月,營業外,88年1-3月,稅後純益,88年1-3月,,期末股本,稅後純益,88年1-3月,每股淨值,淨值佔總資產,流動比率,速動比率,
1468, 1468 昶和      ,457011,416679,9.68,58967,39393,-8127,-2036,44811,29029,54.37,1277995,0.35,0.3,14.56,74.07,2.21,0.85,
1469, 1469 理隆      ,196212,143989,36.27,12356,8721,-5783,-4050,4092,3551,15.24,980000,0.04,0.04,21.44,77.83,1.29,0.54,
1470, 1470 大統染    ,201845,211462,-4.55,141,26914,5028,             ,15800,33194,-52.4,779700,0.2,   <<<<<<   ,12.29,68.77,0.85,0.54,
1471, 1471 首利      ,683653,628717,8.74,28885,36846,5228,             ,34113,28398,20.12,1064800,0.32,   <<<<<<   ,13.74,54.41,1.1,0.62, 
15,   15 電機機械  ,22343577,21808886,2.45,1704211,1489969,573809,-370989,1917733,806911,137.66,60131006,0.32,0.15,16.77,58.37,1.61,0.93, 
1503, 1503 士林電機  ,2407604,2200424,9.42,200644,112254,14489,-16523,176761,72209,144.79,4723134,0.37,0.17,19.06,59.95,1.62,1.02,
1504, 1504 東元電機  ,5036360,5179711,-2.77,280221,215829,411330,6105,556232,190692,191.69,15427192,0.36,0.14,20.56,60.52,1.79,1.26,
1505, 1505 楊鐵工廠  ,480628,463090,3.79,-10439,-2667,296871,32579,285892,29912,855.78,933450,3.06,0.32,21.21,47.01,1.54,1.13,
1506, 1506 正道工業  ,202373,212831,-4.91,7685,-477,21795,-58186,28519,-59650,        ,1022516,0.28,-0.58,11.17,44.28,1.01,0.49,
1507, 1507 永大電機  ,852062,1190027,-28.4,96964,202293,11352,45851,91731,189506,-51.59,4108200,0.22,0.46,17.94,83.41,2.61,1.61,
1509, 1509 元  富    ,482478,461482,4.55,48134,42914,-5737,-527227,48109,-486108,        ,2262000,0.21,-2.58,10.4,54.05,0.98,0.59,
1510, 1510 台  安    ,1144044,1265121,-9.57,19493,38370,1678,-29728,19744,7381,167.5,1989204,0.1,0.04,16.21,44.83,2.05,0.79,
1511, 1511 飛  瑞    ,1169451,947778,23.39,275431,174578,58010,54907,291390,199485,46.07,3466930,0.84,0.67,17.29,86.23,4.89,4.57,
1512, 1512 瑞利企業  ,598198,576009,3.85,7847,-2999,-50861,-9955,-40716,-9786,        ,1765073,-0.23,-0.06,10.89,47.24,0.68,0.29,
